Customer_ID,Name,DOB,PAN,Email,Phone,Address,Segment,KYC_Status,Onboarding_Date
CUST_00035,Aditya Patel,1996-08-03,GRLNE8304P,adityapatel.35@apexbankmail.com,918890759517,"380, Market Road",Mass Retail,,2025-04-24
CUST_00073,Kiran Nair,1954-05-13,OSWPW9840Y,kirannair.73@apexbankmail.com,918521926437,"487, MG Road",Privileged,,2023-12-06
CUST_00097,Karan Kumar,1991-08-09,LIULG8193K,karankumar.97@gmail.com,916439746708,"234, MG Road",Privileged,,2024-06-19
CUST_00099,Aditi Kulkarni,1987-02-07,PNEVG4321E,aditikulkarni.99@gmail.com,917579876508,"512, Lake View Road",Mass Retail,,2021-02-02
CUST_00162,Karan Iyer,1956-06-17,XWOWS3528D,karaniyer.162@outlook.com,916582304243,"543, Market Road",Mass Retail,,2026-03-26
CUST_00193,Pooja Menon,1950-05-11,NVEDM2436U,poojamenon.193@yahoo.com,917037171266,"652, Lake View Road",Mass Retail,,2022-02-08
CUST_00195,Nandini Verma,1964-01-07,KDDMU3149W,nandiniverma.195@yahoo.com,919927751233,"661, Park Street",Mass Retail,,2024-08-23
CUST_00241,Gaurav Patel,1956-02-17,BKRJS7718H,gauravpatel.241@yahoo.com,918954064923,"268, MG Road",Mass Retail,,2024-01-03
CUST_00244,Dev Choudhary,1978-12-12,MAPYZ9531F,devchoudhary.244@apexbankmail.com,916698315939,"23, Market Road",Mass Retail,,2023-02-18
CUST_00286,Pranav Desai,1973-07-28,NOZLA7778N,pranavdesai.286@gmail.com,919709944791,"853, Station Road",Mass Retail,,2021-09-07
CUST_00300,Aditya Mehta,1997-04-24,RAVAB7680B,adityamehta.300@apexbankmail.com,919237768461,"780, Lake View Road",Mass Retail,,2022-11-26
CUST_00310,Charan Desai,1976-07-20,GRJXJ3168Y,charandesai.310@yahoo.com,919959202440,"86, Lake View Road",Mass Retail,,2021-05-31
CUST_00349,Yash Agarwal,1959-10-22,INVALID_PAN,yashagarwal.349@apexbankmail.com,917253395741,"141, Lake View Road",Mass Retail,,2021-12-01
