Customer_ID,Name,DOB,PAN,Email,Phone,Address,Segment,KYC_Status,Onboarding_Date
CUST_00084,Deepa Kumar,1984-06-12,ZZIZY1378H,missingdomain,919689668667,"980, Park Street",Mass Retail,Completed,2024-08-02
CUST_00109,Gaurav Reddy,1969-10-01,OLCPO4822S,gauravreddy.109@apexbankmail.com,919655106815,"400, Market Road",Mass Retail,Completed,2021-01-24
CUST_00179,Rahul Reddy,1958-06-21,UEEAV1747G,rahulreddy.179@yahoo.com,919872264249,"258, Market Road",Privileged,Completed,2023-04-18
CUST_00199,Sanjay Sharma,1996-04-03,LJGWX8617M,sanjaysharma.199@outlook.com,917184604220,"875, Market Road",Privileged,Completed,2026-01-11
CUST_00276,Kiran Mehta,1988-05-03,YCKME6525Q,kiranmehta.276@gmail.com,917071514275,"378, MG Road",Mass Retail,Completed,2024-02-09
CUST_00314,Yash Gupta,2001-07-23,OTNXD9972S,invalid-email,919329470564,"49, Park Street",Mass Retail,Failed,2021-01-05
CUST_00333,Sneha Agarwal,2001-04-22,MLZLV7326G,snehaagarwal.333@apexbankmail.com,919313296557,"724, Park Street",Mass Retail,Pending,2022-06-14
CUST_00375,Sanjay Sharma,2002-01-18,QXXJB8953R,sanjaysharma.375@apexbankmail.com,917516531539,"967, MG Road",Privileged,Completed,2025-08-02
CUST_00489,Sahil Singh,1961-08-25,QDNAB7244E,sahilsingh.489@apexbankmail.com,918349799431,"663, Market Road",Mass Retail,Completed,2021-11-09
CUST_00521,Meera Rao,1997-04-01,JEVMJ5752M,abc@,916670027234,"389, Park Street",Mass Retail,Completed,2026-04-13
CUST_00539,Yash Singh,1949-10-10,ONUCO5050P,yashsingh.539@yahoo.com,918958228065,"644, Park Street",Mass Retail,Completed,2024-12-13
CUST_00571,Kavya Sharma,1983-12-17,YLTQM7470Z,kavyasharma.571@yahoo.com,918114317441,"60, Lake View Road",Mass Retail,Pending,2022-01-20
CUST_00689,Sneha Nair,1959-04-22,COIAW9807Y,missingdomain,916400009065,"550, Park Street",Privileged,Completed,2021-06-15
CUST_00738,Srinivas Patel,2003-01-02,YPVAH2362T,srinivaspatel.738@outlook.com,919068739229,"828, Lake View Road",Privileged,Completed,2024-05-19
CUST_00770,Rohan Desai,1976-03-19,SPLPW4577W,@gmail.com,919108440558,"686, Market Road",Mass Retail,Completed,2023-12-26
CUST_00802,Vikas Choudhary,1985-12-24,PHWIM2889X,invalid-email,918801937411,"925, Market Road",Mass Retail,Completed,2024-08-19
CUST_00839,Ishita Reddy,1955-11-20,ANXMH4069M,ishitareddy.839@apexbankmail.com,917680822615,"557, Market Road",Mass Retail,Completed,2021-02-14
CUST_00901,Mohan Mehta,1959-12-12,WHFDD3055E,mohanmehta.901@apexbankmail.com,919047817697,"354, Park Street",Privileged,Completed,2024-07-26
CUST_00922,Pranav Naidu,1993-07-04,WEHSR5898O,pranavnaidu.922@outlook.com,919762273722,"5, MG Road",Mass Retail,Completed,2021-08-29
CUST_00943,Sahil Nair,1974-12-12,MEGOQ4775S,invalid-email,919317328070,"456, Lake View Road",Wealth,Completed,2023-01-01
CUST_00979,Meera Bose,2002-10-27,SFAES7597T,meerabose.979@apexbankmail.com,916524148788,"97, MG Road",Mass Retail,Completed,2025-06-25
CUST_01028,Yash Agarwal,1970-04-20,RABLD3238F,yashagarwal.1028@gmail.com,918480285017,"943, Station Road",Mass Retail,Completed,2022-09-27
CUST_01064,Arjun Mishra,1955-08-24,YMMRX5942O,arjunmishra.1064@outlook.com,918829429759,"538, MG Road",Wealth,Completed,2023-12-30
